sep=,
06/20/2013, 0.20714%
06/21/2013, 0.21%
06/24/2013, 0.20929%
06/25/2013, 0.20857%
06/26/2013, 0.20857%
06/27/2013, 0.20857%
06/28/2013, 0.20714%
07/02/2013, 0.20714%
07/03/2013, 0.20714%
07/04/2013, 0.20643%
07/05/2013, 0.20643%
07/08/2013, 0.20714%
07/09/2013, 0.20714%
07/10/2013, 0.20714%
07/11/2013, 0.20714%
07/12/2013, 0.20786%
07/15/2013, 0.20786%
07/16/2013, 0.20786%
07/17/2013, 0.20786%
07/18/2013, 0.20714%
07/19/2013, 0.2075%
07/22/2013, 0.20786%
07/23/2013, 0.20714%
07/24/2013, 0.20786%
07/25/2013, 0.20786%
07/26/2013, 0.20714%
07/29/2013, 0.20714%
07/30/2013, 0.20643%
07/31/2013, 0.20643%
08/01/2013, 0.20571%
